,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
150,185,Django Unchained,"$162,805,434","Drama, Western",tt1853728,165.0,8.4,"$425,368,238"
151,186,Jason Bourne,"$162,434,410","Action, Thriller",tt4196776,123.0,6.6,"$415,484,914"
152,187,Grown Ups,"$162,001,186",Comedy,tt1375670,102.0,6.0,"$271,430,189"
153,188,Ice Age: Continental Drift,"$161,321,843","Animation, Adventure, Comedy",tt1667889,88.0,6.6,"$877,244,782"
154,189,Straight Outta Compton,"$161,197,785","Biography, Drama, History",tt1398426,147.0,7.9,"$201,634,991"
155,190,How to Train Your Dragon: The Hidden World,"$160,799,505","Animation, Action, Adventure",tt2386490,104.0,7.6,"$521,799,505"
156,191,The Heat,"$159,582,188","Action, Comedy, Crime",tt2404463,117.0,6.6,"$229,930,771"
157,192,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","Adventure, Family, Fantasy",tt4123430,134.0,6.6,"$654,855,901"
158,193,Halloween,"$159,342,015","Horror, Thriller",tt1502407,106.0,6.6,"$255,485,178"
159,194,The Secret Life of Pets 2,"$158,874,395","Animation, Adventure, Comedy",tt5113040,86.0,6.6,"$430,051,293"
160,195,Star Trek Beyond,"$158,848,340","Action, Adventure, Sci-Fi",tt2660888,122.0,7.1,"$343,471,816"
161,196,X-Men: Apocalypse,"$155,442,489","Action, Adventure, Sci-Fi",tt3385516,144.0,7.0,"$543,934,105"
162,197,Snow White and the Huntsman,"$155,332,381","Action, Adventure, Drama",tt1735898,127.0,6.1,"$396,592,829"
163,198,San Andreas,"$155,190,832","Action, Adventure, Drama",tt2126355,114.0,6.1,"$473,990,832"
164,199,Mad Max: Fury Road,"$154,058,340","Action, Adventure, Sci-Fi",tt1392190,120.0,8.1,"$374,736,354"
165,200,Trolls,"$153,707,064","Animation, Adventure, Comedy",tt1679335,92.0,6.5,"$346,864,462"
166,201,Cars 3,"$152,901,115","Animation, Adventure, Comedy",tt3606752,102.0,6.8,"$383,930,656"
167,202,La La Land,"$151,101,803","Comedy, Drama, Music",tt3783958,128.0,8.0,"$446,486,224"
168,203,Divergent,"$150,947,895","Action, Adventure, Mystery",tt1840309,139.0,6.7,"$288,885,818"
169,204,We're the Millers,"$150,394,119","Comedy, Crime",tt1723121,110.0,7.0,"$269,994,119"
170,205,Daddy's Home,"$150,357,137","Comedy, Family",tt1528854,96.0,6.2,"$242,786,137"
171,207,Neighbors,"$150,157,400",Comedy,tt2004420,97.0,6.3,"$270,665,134"
172,209,American Hustle,"$150,117,807","Crime, Drama",tt1800241,138.0,7.2,"$251,171,807"
173,210,Puss in Boots,"$149,260,504","Animation, Adventure, Comedy",tt0448694,90.0,6.6,"$554,987,477"
174,211,Les Misérables,"$148,809,770","Drama, History, Musical",tt10199590,102.0,7.4,"$441,809,770"
