,Movie Title,Gross Revenue (USD),Genre
226,Bumblebee,"$127,195,589","Action, Adventure, Sci-Fi"
227,Super 8,"$127,004,179","Mystery, Sci-Fi, Thriller"
228,Lucy,"$126,663,600","Action, Sci-Fi, Thriller"
229,The Legend of Tarzan,"$126,643,061","Action, Adventure, Drama"
230,Prometheus,"$126,477,084","Adventure, Mystery, Sci-Fi"
231,Safe House,"$126,373,434","Action, Thriller"
232,Lone Survivor,"$125,095,601","Action, Biography, Drama"
233,Sully,"$125,070,033","Biography, Drama"
234,The Vow,"$125,014,030","Drama, Romance"
235,Life of Pi,"$124,987,023","Adventure, Drama, Fantasy"
236,The Fault in Our Stars,"$124,872,350","Drama, Romance"
237,Rango,"$123,477,607","Animation, Adventure, Comedy"
238,The Good Dinosaur,"$123,087,120","Animation, Adventure, Comedy"
239,G.I. Joe: Retaliation,"$122,523,060","Action, Adventure, Sci-Fi"
240,Mamma Mia! Here We Go Again,"$120,634,935","Comedy, Musical, Romance"
241,Cloudy with a Chance of Meatballs 2,"$119,793,567","Animation, Adventure, Comedy"
242,The Other Guys,"$119,219,978","Action, Comedy, Crime"
243,Salt,"$118,311,368","Action, Mystery, Thriller"
244,Now You See Me,"$117,723,989","Crime, Mystery, Thriller"
245,Ford v Ferrari,"$117,624,028","Action, Biography, Drama"
246,Horrible Bosses,"$117,538,559","Comedy, Crime"
247,The Nun,"$117,450,119","Horror, Mystery, Thriller"
248,Jackass 3D,"$117,224,271","Documentary, Action, Comedy"
249,The Wolf of Wall Street,"$116,900,694","Biography, Crime, Drama"
250,The Butler,"$116,632,095","Biography, Drama"
251,Green Lantern,"$116,601,172","Action, Adventure, Sci-Fi"
252,Creed II,"$115,715,889","Drama, Sport"
253,Unbroken,"$115,637,895","Biography, Drama, Sport"
254,Peter Rabbit,"$115,253,424","Adventure, Comedy, Family"
255,Girls Trip,"$115,171,585","Adventure, Comedy, Drama"
256,Dumbo,"$114,766,307","Adventure, Family, Fantasy"
257,Fifty Shades Darker,"$114,376,885","Drama, Romance"
258,Maleficent: Mistress of Evil,"$113,929,605","Adventure, Family, Fantasy"
259,Night at the Museum: Secret of the Tomb,"$113,746,621","Adventure, Comedy, Family"
260,Magic Mike,"$113,721,571","Comedy, Drama"
261,Bad Moms,"$113,257,297",Comedy
262,The Bourne Legacy,"$113,203,870","Action, Adventure, Thriller"
263,The Hangover Part III,"$112,200,072","Comedy, Crime"
264,Mr. Peabody & Sherman,"$111,506,430","Animation, Adventure, Comedy"
265,Glass,"$111,048,468","Drama, Sci-Fi, Thriller"
266,Spy,"$110,825,712","Action, Comedy, Crime"
267,Godzilla: King of the Monsters,"$110,500,138","Action, Adventure, Fantasy"
268,Valentine's Day,"$110,485,654","Comedy, Romance"
269,Trainwreck,"$110,212,700","Comedy, Drama, Romance"
270,Creed,"$109,767,581","Drama, Sport"
271,The Upside,"$108,252,517","Comedy, Drama"
272,Little Women,"$108,101,214","Drama, Romance"
273,Hop,"$108,085,305","Animation, Adventure, Comedy"
274,Baby Driver,"$107,825,862","Action, Crime, Drama"
275,Epic,"$107,518,682","Animation, Adventure, Family"
276,Angry Birds,"$107,509,366","Animation, Action, Adventure"
277,Captain Phillips,"$107,100,855","Biography, Crime, Drama"
278,Black Swan,"$106,954,678","Drama, Thriller"
279,300: Rise of an Empire,"$106,580,051","Action, Drama"
280,The Lego Movie 2: The Second Part,"$105,806,508","Animation, Action, Adventure"
281,Robin Hood,"$105,269,730","Action, Adventure, Drama"
282,Pitch Perfect 3,"$104,897,530","Comedy, Music"
283,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950","Adventure, Family, Fantasy"
284,Daddy's Home 2,"$104,029,443",Comedy
285,Paranormal Activity 3,"$104,007,828","Horror, Mystery, Thriller"
286,Journey 2: The Mysterious Island,"$103,860,290","Action, Adventure, Comedy"
287,The Mule,"$103,804,407","Crime, Drama, Thriller"
288,Rise of the Guardians,"$103,412,758","Animation, Action, Adventure"
289,Independence Day: Resurgence,"$103,144,286","Action, Adventure, Sci-Fi"
290,The Expendables,"$103,068,524","Action, Adventure, Thriller"
291,Just Go with It,"$103,028,109","Comedy, Romance"
292,Murder on the Orient Express,"$102,826,543","Crime, Drama, Mystery"
293,The Girl with the Dragon Tattoo,"$102,515,793","Crime, Drama, Mystery"
294,The Conjuring 2,"$102,470,008","Horror, Mystery, Thriller"
295,The Maze Runner,"$102,427,862","Action, Mystery, Sci-Fi"
296,Annabelle: Creation,"$102,092,201","Horror, Mystery, Thriller"
297,The Equalizer 2,"$102,084,362","Action, Crime, Thriller"
298,Bad Grandpa,"$102,003,019",Comedy
299,Pacific Rim,"$101,802,906","Action, Adventure, Sci-Fi"
300,The Equalizer,"$101,530,738","Action, Crime, Thriller"
301,This Is the End,"$101,470,202",Comedy
302,Noah,"$101,200,044","Action, Adventure, Drama"
303,Rampage,"$101,028,233","Action, Adventure, Sci-Fi"
304,Arrival,"$100,546,139","Drama, Mystery, Sci-Fi"
305,Due Date,"$100,539,043","Comedy, Drama"
306,A Wrinkle in Time,"$100,478,608","Adventure, Family, Fantasy"
307,Fifty Shades Freed,"$100,407,760","Drama, Romance, Thriller"
308,Bad Teacher,"$100,292,856","Comedy, Romance"
309,Yogi Bear,"$100,246,011","Animation, Adventure, Comedy"
310,Cowboys & Aliens,"$100,240,551","Action, Sci-Fi, Thriller"
311,Kingsman: The Golden Circle,"$100,234,838","Action, Adventure, Comedy"
