,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget
164,X-Men: Apocalypse,"Action, Adventure, Sci-Fi",tt3385516,144.0,7.0,543934105,155442489,178000000
165,Snow White and the Huntsman,"Action, Adventure, Drama",tt1735898,127.0,6.1,396592829,155332381,170000000
166,San Andreas,"Action, Adventure, Drama",tt2126355,114.0,6.1,473990832,155190832,110000000
167,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",tt1392190,120.0,8.1,374736354,154058340,150000000
168,Trolls,"Animation, Adventure, Comedy",tt1679335,92.0,6.5,346864462,153707064,125000000
169,Cars 3,"Animation, Adventure, Comedy",tt3606752,102.0,6.8,383930656,152901115,175000000
170,La La Land,"Comedy, Drama, Music",tt3783958,128.0,8.0,446486224,151101803,30000000
171,Divergent,"Action, Adventure, Mystery",tt1840309,139.0,6.7,288885818,150947895,85000000
172,We're the Millers,"Comedy, Crime",tt1723121,110.0,7.0,269994119,150394119,37000000
173,Daddy's Home,"Comedy, Family",tt1528854,96.0,6.2,242786137,150357137,50000000
174,Neighbors,Comedy,tt2004420,97.0,6.3,270665134,150157400,18000000
175,American Hustle,"Crime, Drama",tt1800241,138.0,7.2,251171807,150117807,40000000
176,Puss in Boots,"Animation, Adventure, Comedy",tt0448694,90.0,6.6,554987477,149260504,130000000
177,Les Misérables,"Drama, History, Musical",tt10199590,102.0,7.4,441809770,148809770,0
178,Megamind,"Animation, Action, Comedy",tt1001526,95.0,7.3,321885765,148415853,130000000
179,Little Fockers,"Comedy, Romance",tt0970866,98.0,5.5,310650585,148383780,100000000
180,Hotel Transylvania,"Animation, Comedy, Family",tt0837562,91.0,7.1,358375603,148313048,85000000
181,War for the Planet of the Apes,"Action, Adventure, Drama",tt3450958,140.0,7.5,490719763,146880162,150000000
182,The Great Gatsby,"Drama, Romance",tt1343092,143.0,7.3,353641895,144840419,105000000
183,Pokémon Detective Pikachu,"Adventure, Comedy, Family",tt5884052,104.0,6.9,433005346,144105346,150000000
184,Rio,"Animation, Adventure, Comedy",tt1436562,96.0,6.9,483866518,143619809,90000000
185,Kung Fu Panda 3,"Animation, Action, Adventure",tt2267968,95.0,7.1,521170825,143528619,145000000
186,The Meg,"Action, Horror, Sci-Fi",tt4779682,113.0,5.7,530243742,143005856,150000000
187,The Smurfs,"Animation, Adventure, Comedy",tt0472181,103.0,5.5,563749323,142614158,110000000
188,Shazam!,"Action, Adventure, Comedy",tt0448115,132.0,7.4,365971656,140371656,80000000
189,Taken 2,"Action, Thriller",tt1397280,92.0,6.3,376141306,139854287,45000000
190,The King's Speech,"Biography, Drama, History",tt1504320,118.0,8.0,423999102,138797449,15000000
191,21 Jump Street,"Action, Comedy, Crime",tt1232829,109.0,7.2,201585328,138447667,42000000
192,Split,"Horror, Thriller",tt2660118,90.0,2.9,278454358,138291365,0
193,Ready Player One,"Action, Adventure, Sci-Fi",tt1677720,140.0,7.5,582890172,137690172,175000000
194,The Conjuring,"Horror, Mystery, Thriller",tt1457767,112.0,7.5,319494638,137400141,13000000
195,Argo,"Biography, Drama, Thriller",tt1024648,120.0,7.7,232325503,136025503,44500000
196,Ride Along,"Action, Comedy, Crime",tt1408253,99.0,6.2,154468902,134938200,25000000
197,Identity Thief,"Comedy, Crime, Drama",tt2024432,111.0,5.7,173965010,134506920,35000000
198,Grown Ups 2,Comedy,tt2191701,101.0,5.4,246984278,133668525,80000000
199,Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy",tt1615918,87.0,4.4,342695435,133110742,75000000
200,The Wolverine,"Action, Adventure, Sci-Fi",tt1430132,126.0,6.7,414828246,132556852,120000000
201,Wonder,"Drama, Family",tt2543472,113.0,8.0,305937718,132422809,20000000
202,Silver Linings Playbook,"Comedy, Drama, Romance",tt1045658,122.0,7.7,236412453,132092958,21000000
203,The Last Airbender,"Action, Adventure, Family",tt0938283,103.0,4.1,319713881,131564731,150000000
204,Rio 2,"Animation, Adventure, Comedy",tt2357291,101.0,6.3,498781117,131538435,103000000
205,Insurgent,"Action, Adventure, Sci-Fi",tt2908446,119.0,6.2,297002527,130179072,110000000
206,The Peanuts Movie,"Animation, Comedy, Family",tt2452042,88.0,7.1,246233113,130178411,99000000
207,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",tt3371366,154.0,5.2,605425157,130168683,217000000
208,Ghostbusters,"Action, Comedy, Fantasy",tt1289401,116.0,5.2,229147509,128344089,144000000
209,Kingsman: The Secret Service,"Action, Adventure, Comedy",tt2802144,129.0,7.7,414351546,128261724,81000000
210,Shutter Island,"Mystery, Thriller",tt1130884,138.0,8.1,294804195,128012934,80000000
211,Into the Woods,"Adventure, Comedy, Drama",tt2180411,125.0,6.0,212902372,128002372,50000000
212,Central Intelligence,"Action, Comedy, Crime",tt1489889,107.0,6.3,216972543,127440871,50000000
213,Anchorman 2: The Legend Continues,Comedy,tt1229340,119.0,6.3,171464676,127352707,50000000
214,Bumblebee,"Action, Adventure, Sci-Fi",tt4701182,114.0,6.9,467989645,127195589,135000000
215,Super 8,"Mystery, Sci-Fi, Thriller",tt1650062,112.0,7.0,260095986,127004179,50000000
216,Lucy,"Action, Sci-Fi, Thriller",tt2872732,89.0,6.4,458863600,126663600,40000000
217,The Legend of Tarzan,"Action, Adventure, Drama",tt0918940,110.0,6.3,356700357,126643061,180000000
218,Prometheus,"Adventure, Mystery, Sci-Fi",tt1446714,124.0,7.0,403354469,126477084,130000000
219,Safe House,"Action, Thriller",tt1599348,115.0,6.8,208076205,126373434,85000000
220,Lone Survivor,"Action, Biography, Drama",tt1091191,121.0,7.5,154802912,125095601,40000000
221,Sully,"Biography, Drama",tt3263904,96.0,7.5,240797623,125070033,60000000
222,The Vow,"Drama, Romance",tt1606389,104.0,6.8,196114570,125014030,30000000
223,Life of Pi,"Adventure, Drama, Fantasy",tt0454876,127.0,7.9,609016565,124987023,120000000
224,The Fault in Our Stars,"Drama, Romance",tt2582846,126.0,7.7,307166834,124872350,12000000
225,Rango,"Animation, Adventure, Comedy",tt1192628,107.0,7.2,245724603,123477607,135000000
226,The Good Dinosaur,"Animation, Adventure, Comedy",tt1979388,93.0,6.7,332207671,123087120,175000000
227,G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",tt1583421,110.0,5.8,375740705,122523060,130000000
228,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance",tt6911608,114.0,6.7,395044706,120634935,75000000
229,Cloudy with a Chance of Meatballs 2,"Animation, Adventure, Comedy",tt1985966,95.0,6.4,274325949,119793567,78000000
230,The Other Guys,"Action, Comedy, Crime",tt1386588,107.0,6.7,170458922,119219978,100000000
231,Salt,"Action, Mystery, Thriller",tt0944835,100.0,6.4,293503354,118311368,110000000
232,Now You See Me,"Crime, Mystery, Thriller",tt1670345,115.0,7.3,351723989,117723989,75000000
233,Horrible Bosses,"Comedy, Crime",tt1499658,98.0,6.9,209838559,117538559,35000000
234,The Nun,"Horror, Mystery, Thriller",tt2215221,112.0,6.5,32659,117450119,0
235,Jackass 3D,"Documentary, Action, Comedy",tt1116184,95.0,7.0,171685792,117224271,20000000
236,The Wolf of Wall Street,"Biography, Crime, Drama",tt0993846,180.0,8.2,392000694,116900694,100000000
237,Green Lantern,"Action, Adventure, Sci-Fi",tt1133985,114.0,5.5,219851172,116601172,200000000
238,Creed II,"Drama, Sport",tt6343314,130.0,7.2,214215889,115715889,50000000
239,Unbroken,"Biography, Drama, Sport",tt1809398,137.0,7.2,161459297,115637895,65000000
240,Peter Rabbit,"Adventure, Comedy, Family",tt5117670,95.0,6.6,351266433,115253424,50000000
241,Girls Trip,"Adventure, Comedy, Drama",tt3564472,122.0,6.2,140552359,115171585,19000000
242,Dumbo,"Adventure, Family, Fantasy",tt3861390,112.0,6.6,353284621,114766307,170000000
243,Fifty Shades Darker,"Drama, Romance",tt4465564,118.0,4.6,381545846,114376885,55000000
244,Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Family",tt2692250,98.0,6.2,363204635,113746621,127000000
245,Magic Mike,"Comedy, Drama",tt1915581,110.0,6.1,167739368,113721571,7000000
246,Bad Moms,Comedy,tt4651520,100.0,6.2,183936074,113257297,20000000
247,The Bourne Legacy,"Action, Adventure, Thriller",tt1194173,135.0,6.7,276144750,113203870,130000000
248,The Hangover Part III,"Comedy, Crime",tt1951261,100.0,5.8,362000072,112200072,103000000
249,Mr. Peabody & Sherman,"Animation, Adventure, Comedy",tt0864835,92.0,6.8,275698039,111506430,145000000
250,Spy,"Action, Comedy, Crime",tt0372538,110.0,6.6,235666219,110825712,5000000
251,Godzilla: King of the Monsters,"Action, Adventure, Fantasy",tt3741700,132.0,6.7,386600138,110500138,170000000
252,Valentine's Day,"Comedy, Romance",tt0817230,125.0,5.7,216485654,110485654,52000000
253,Trainwreck,"Comedy, Drama, Romance",tt3152624,125.0,6.2,140795793,110212700,35000000
254,Creed,"Drama, Sport",tt1632705,77.0,6.6,173567581,109767581,0
255,The Upside,"Comedy, Drama",tt1987680,126.0,6.7,125852517,108252517,37500000
256,Little Women,"Drama, Romance",tt6495094,112.0,4.6,206006503,108101214,0
257,Little Women,"Drama, Romance",tt6495094,112.0,4.6,206006503,108101214,0
258,Hop,"Animation, Adventure, Comedy",tt1411704,95.0,5.4,183953723,108085305,63000000
259,Baby Driver,"Action, Crime, Drama",tt3890160,113.0,7.6,226945087,107825862,34000000
260,Epic,"Animation, Adventure, Family",tt0848537,102.0,6.7,268426634,107518682,100000000
261,Captain Phillips,"Biography, Crime, Drama",tt1535109,134.0,7.8,218791811,107100855,55000000
262,Black Swan,"Drama, Thriller",tt0947798,108.0,8.0,329398046,106954678,13000000
263,300: Rise of an Empire,"Action, Drama",tt1253863,102.0,6.2,337580051,106580051,110000000
264,The Lego Movie 2: The Second Part,"Animation, Action, Adventure",tt3513498,107.0,6.7,192306508,105806508,100000000
265,Robin Hood,"Action, Adventure, Drama",tt0955308,140.0,6.6,86489031,105269730,200000000
266,Robin Hood,"Action, Adventure, Drama",tt0955308,140.0,6.6,86489031,105269730,200000000
267,Pitch Perfect 3,"Comedy, Music",tt4765284,93.0,5.8,185400345,104897530,45000000
268,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy",tt0980970,113.0,6.3,415686217,104386950,155000000
