,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
219,Rio,"$143,619,809","Animation, Adventure, Comedy",96.0,6.9
222,Kung Fu Panda 3,"$143,528,619","Animation, Action, Adventure",95.0,7.1
223,The Meg,"$143,005,856","Action, Horror, Sci-Fi",113.0,5.7
224,The Smurfs,"$142,614,158","Animation, Adventure, Comedy",103.0,5.5
225,Shazam!,"$140,371,656","Action, Adventure, Comedy",132.0,7.4
226,Taken 2,"$139,854,287","Action, Thriller",92.0,6.3
227,The King's Speech,"$138,797,449","Biography, Drama, History",118.0,8.0
228,21 Jump Street,"$138,447,667","Action, Comedy, Crime",109.0,7.2
229,Split,"$138,291,365","Horror, Thriller",90.0,2.9
235,Ready Player One,"$137,690,172","Action, Adventure, Sci-Fi",140.0,7.5
236,The Conjuring,"$137,400,141","Horror, Mystery, Thriller",112.0,7.5
237,Argo,"$136,025,503","Biography, Drama, Thriller",120.0,7.7
238,Ride Along,"$134,938,200","Action, Comedy, Crime",99.0,6.2
240,Identity Thief,"$134,506,920","Comedy, Crime, Drama",111.0,5.7
241,Grown Ups 2,"$133,668,525",Comedy,101.0,5.4
242,Alvin and the Chipmunks: Chipwrecked,"$133,110,742","Animation, Adventure, Comedy",87.0,4.4
243,The Wolverine,"$132,556,852","Action, Adventure, Sci-Fi",126.0,6.7
244,Wonder,"$132,422,809","Drama, Family",113.0,8.0
245,Silver Linings Playbook,"$132,092,958","Comedy, Drama, Romance",122.0,7.7
246,The Last Airbender,"$131,564,731","Action, Adventure, Family",103.0,4.1
247,Rio 2,"$131,538,435","Animation, Adventure, Comedy",101.0,6.3
248,Insurgent,"$130,179,072","Action, Adventure, Sci-Fi",119.0,6.2
249,The Peanuts Movie,"$130,178,411","Animation, Comedy, Family",88.0,7.1
250,Transformers: The Last Knight,"$130,168,683","Action, Adventure, Sci-Fi",154.0,5.2
251,Ghostbusters,"$128,344,089","Action, Comedy, Fantasy",116.0,5.2
252,Kingsman: The Secret Service,"$128,261,724","Action, Adventure, Comedy",129.0,7.7
253,Shutter Island,"$128,012,934","Mystery, Thriller",138.0,8.1
254,Into the Woods,"$128,002,372","Adventure, Comedy, Drama",125.0,6.0
257,Central Intelligence,"$127,440,871","Action, Comedy, Crime",107.0,6.3
258,Anchorman 2: The Legend Continues,"$127,352,707",Comedy,119.0,6.3
259,Bumblebee,"$127,195,589","Action, Adventure, Sci-Fi",114.0,6.9
260,Super 8,"$127,004,179","Mystery, Sci-Fi, Thriller",112.0,7.0
261,Lucy,"$126,663,600","Action, Sci-Fi, Thriller",89.0,6.4
263,The Legend of Tarzan,"$126,643,061","Action, Adventure, Drama",110.0,6.3
264,Prometheus,"$126,477,084","Adventure, Mystery, Sci-Fi",124.0,7.0
265,Safe House,"$126,373,434","Action, Thriller",115.0,6.8
266,Lone Survivor,"$125,095,601","Action, Biography, Drama",121.0,7.5
267,Sully,"$125,070,033","Biography, Drama",96.0,7.5
268,The Vow,"$125,014,030","Drama, Romance",104.0,6.8
269,Life of Pi,"$124,987,023","Adventure, Drama, Fantasy",127.0,7.9
270,The Fault in Our Stars,"$124,872,350","Drama, Romance",126.0,7.7
271,Rango,"$123,477,607","Animation, Adventure, Comedy",107.0,7.2
272,The Good Dinosaur,"$123,087,120","Animation, Adventure, Comedy",93.0,6.7
273,G.I. Joe: Retaliation,"$122,523,060","Action, Adventure, Sci-Fi",110.0,5.8
274,Mamma Mia! Here We Go Again,"$120,634,935","Comedy, Musical, Romance",114.0,6.7
275,Cloudy with a Chance of Meatballs 2,"$119,793,567","Animation, Adventure, Comedy",95.0,6.4
276,The Other Guys,"$119,219,978","Action, Comedy, Crime",107.0,6.7
277,Salt,"$118,311,368","Action, Mystery, Thriller",100.0,6.4
278,Now You See Me,"$117,723,989","Crime, Mystery, Thriller",115.0,7.3
280,Horrible Bosses,"$117,538,559","Comedy, Crime",98.0,6.9
281,The Nun,"$117,450,119","Horror, Mystery, Thriller",112.0,6.5
283,Jackass 3D,"$117,224,271","Documentary, Action, Comedy",95.0,7.0
284,The Wolf of Wall Street,"$116,900,694","Biography, Crime, Drama",180.0,8.2
285,The Butler,"$116,632,095","Biography, Drama",70.0,7.6
287,Green Lantern,"$116,601,172","Action, Adventure, Sci-Fi",114.0,5.5
288,Creed II,"$115,715,889","Drama, Sport",130.0,7.2
289,Unbroken,"$115,637,895","Biography, Drama, Sport",137.0,7.2
290,Peter Rabbit,"$115,253,424","Adventure, Comedy, Family",95.0,6.6
291,Girls Trip,"$115,171,585","Adventure, Comedy, Drama",122.0,6.2
292,Dumbo,"$114,766,307","Adventure, Family, Fantasy",112.0,6.6
293,Fifty Shades Darker,"$114,376,885","Drama, Romance",118.0,4.6
294,Night at the Museum: Secret of the Tomb,"$113,746,621","Adventure, Comedy, Family",98.0,6.2
295,Magic Mike,"$113,721,571","Comedy, Drama",110.0,6.1
296,Bad Moms,"$113,257,297",Comedy,100.0,6.2
297,The Bourne Legacy,"$113,203,870","Action, Adventure, Thriller",135.0,6.7
298,The Hangover Part III,"$112,200,072","Comedy, Crime",100.0,5.8
299,Mr. Peabody & Sherman,"$111,506,430","Animation, Adventure, Comedy",92.0,6.8
300,Glass,"$111,048,468","Drama, Sci-Fi, Thriller",71.0,8.2
303,Spy,"$110,825,712","Action, Comedy, Crime",110.0,6.6
305,Godzilla: King of the Monsters,"$110,500,138","Action, Adventure, Fantasy",132.0,6.7
306,Valentine's Day,"$110,485,654","Comedy, Romance",125.0,5.7
307,Trainwreck,"$110,212,700","Comedy, Drama, Romance",125.0,6.2
308,Creed,"$109,767,581","Drama, Sport",77.0,6.6
311,The Upside,"$108,252,517","Comedy, Drama",126.0,6.7
312,Little Women,"$108,101,214","Drama, Romance",112.0,4.6
314,Hop,"$108,085,305","Animation, Adventure, Comedy",95.0,5.4
315,Baby Driver,"$107,825,862","Action, Crime, Drama",113.0,7.6
316,Epic,"$107,518,682","Animation, Adventure, Family",102.0,6.7
